# GRIDDLE — Curated Word List (279 words)
# Format: WORD | TIER | NOTE
# Tiers: A (very common) | B (common) | C (usable) | PROMOTED (lower freq but great puzzle word)
# Flagged words removed: political, negative/dark, corporate jargon, mundane
# Words marked [REVIEW] need a human decision before finalizing

education       | A      |
companies       | A      |
countries       | A      |
wonderful       | A      |
dangerous       | A      |
boyfriend       | A      |
champions       | A      |
universal       | A      |
discovery       | A      |
introduce       | A      |
chemistry       | A      |
computers       | A      |
franchise       | B      |
breathing       | B      |
daughters       | B      |
traveling       | B      |
inspector       | B      |
signature       | B      |
copyright       | B      |
neighbors       | B      |
reactions       | B      |
nightmare       | B      |
overnight       | B      |
platforms       | B      |
wrestling       | B      |
publisher       | B      |
breakdown       | B      |
particles       | B      |
exploring       | B      |
workplace       | B      |
provinces       | B      |
algorithm       | B      |
favorites       | B      |
machinery       | B      |
voluntary       | B      |
magnitude       | B      |
sexuality       | B      | [REVIEW] fine word, may feel odd as puzzle answer
factories       | B      |
fashioned       | B      |
biography       | B      |
specialty       | B      |
merchants       | B      |
livestock       | B      |
oversight       | B      |
comprised       | B      |
educators       | B      |
fragments       | B      |
submarine       | B      |
microwave       | B      |
righteous       | B      |
constable       | PROMOTED |
equations       | B      |
teachings       | B      |
policeman       | B      |
hydraulic       | B      |
adjusting       | B      |
diplomacy       | B      |
masculine       | B      | [REVIEW]
boulevard       | B      |
intervals       | C      |
preaching       | C      |
exclusion       | C      |
skeptical       | C      |
embracing       | C      |
strangely       | C      |
furnished       | C      |
manifesto       | PROMOTED |
monastery       | C      |
nightclub       | PROMOTED |
numerical       | C      |
supremacy       | C      | [REVIEW] potential connotation issues
bothering       | C      |
consulted       | C      |
metabolic       | C      |
simulator       | C      |
terminals       | C      |
benchmark       | PROMOTED |
duplicate       | C      |
columnist       | C      |
educating       | C      |
consulate       | C      |
departing       | C      |
lucrative       | C      |
porcelain       | C      |
sparkling       | C      |
longevity       | C      |
creations       | C      |
customary       | C      |
diplomats       | C      |
exploding       | C      |
flowering       | C      |
marvelous       | C      |
coastline       | PROMOTED |
judgments       | C      |
resolving       | C      |
syndicate       | C      |
obligated       | C      |
pulmonary       | C      |
troubling       | C      |
comedians       | C      |
fisherman       | C      |
simulated       | C      |
birthdays       | C      |
blueprint       | PROMOTED |
complains       | C      |
cylinders       | C      |
nostalgic       | C      |
scrambled       | C      |
godfather       | PROMOTED |
